date-time, SO2-flux-a (kg/s), error (kg/s)
2016-01-08T20:57:39.000Z,5.63,2.73
2016-01-08T21:10:57.000Z,5.13,2.49
2016-01-08T21:15:23.000Z,5.41,2.63
2016-01-08T21:24:16.000Z,5.34,2.59
2016-01-08T21:37:34.000Z,4,1.94
2016-01-08T21:46:26.000Z,5.26,2.55
2016-01-08T22:04:04.000Z,8.05,3.9
2016-01-08T22:08:30.000Z,7.2,3.49
2016-01-08T22:30:35.000Z,2.82,1.37
2016-01-08T22:39:23.000Z,2.84,1.38
2016-01-08T22:43:46.000Z,3.11,1.51
2016-01-08T23:14:34.000Z,7.67,3.72
2016-01-08T23:19:00.000Z,6.29,3.05
2016-01-08T23:27:44.000Z,2.14,1.04
2016-01-08T23:36:30.000Z,3.91,1.9
2016-01-08T23:45:15.000Z,1.59,0.77
2016-01-08T23:49:37.000Z,2.75,1.33
2016-01-09T20:39:54.000Z,4.48,2.17
2016-01-09T20:53:13.000Z,4.36,2.11
2016-01-09T21:59:45.000Z,8.5,4.12
2016-01-09T23:23:31.000Z,3.5,1.7
2016-01-10T01:54:39.000Z,11.4,5.53
2016-01-10T02:25:42.000Z,22.68,11.01
2016-01-12T20:13:17.000Z,11.35,5.5
2016-01-12T20:22:10.000Z,6.95,3.37
2016-01-12T20:31:02.000Z,10.56,5.12
2016-01-12T20:44:20.000Z,2.85,1.38
2016-01-12T21:15:23.000Z,2.72,1.32
2016-01-12T21:19:50.000Z,3.59,1.74
2016-01-12T21:24:16.000Z,2.33,1.13
2016-01-12T21:33:08.000Z,2.25,1.09
2016-01-12T21:37:34.000Z,3.42,1.66
2016-01-12T22:26:22.000Z,5.49,2.66
2016-01-12T22:35:14.000Z,2.76,1.34
2016-01-13T01:13:59.000Z,14.33,6.95
2016-01-13T01:36:10.000Z,12.98,6.3
2016-01-13T01:49:28.000Z,12.81,6.22
2016-01-13T02:11:39.000Z,16.74,8.12
2016-01-13T02:33:50.000Z,11.72,5.68
2016-01-13T02:51:34.000Z,5.92,2.87
2016-01-14T21:33:08.000Z,3.26,1.58
2016-01-14T22:52:58.000Z,7.1,3.44
2016-01-14T23:46:54.000Z,1.74,0.84
2016-01-14T23:55:38.000Z,1.56,0.76
2016-01-15T00:17:24.000Z,0.74,0.36
2016-01-15T20:22:10.000Z,5.06,2.45
2016-01-15T21:10:57.000Z,4.18,2.03
2016-01-15T23:19:18.000Z,3.6,1.75
