Volcano Name	VNUM	Latitude	Longitude	Region	Sub-region	Volcano Type	Unit name	Eruption start day	Eruption start month	Eruption start year	Year BP	Date Error	Dating technique	Date quality	Alternate values	Citation	Tephra fall deposit volume	Qualifier	Error	Alternate values	Citation	Tephra fall DRE volume	Qualifier	Error	Quality	Alternate values	Citation	Ignimbrite deposit volume	Qualifier	Error	Quality	Alternate values	Citation	Ignimbrite DRE volume	Qualifier	Error	Quality	Alternate values	Citation	Primary intra caldera deposit volume	Qualifier	Error	Quality	Alternate values	Citation	Primary intra caldera DRE volume	Qualifier	Error	Quality	Alternate values	Citation	Bulk deposit volume	Qualifier	Error	Quality	Alternate values	Citation	Bulk DRE volume	Qualifier	Error	Quality	Alternate values	Citation	Magma Type	Magma Density	Magnitude	Qualifier	Derivation	Alternate values	Citation	VEI	Qualifier	Derivation	Alternate values	Citation	Column height Min	Citation	Column height Max	Citation	Column height Average	Citation	Alternate values	Intensity Min	Citation	Intensity Max	Citation	Intensity Average	Citation	Alternate values
Aak	300830	53.38333333	158.6666667	Kamchatka and Mainland Asia	Kamchatka Peninsula	Not Available																																																																												No							No
Abichaca	555873	-16.03333333	-68.66666667	South America	Pacific Ocean (Chilean Islands)	Cone(s)																																																																												No							No
Abra	555871	-23.43333333	-67.75	South America	"Northen Chile, Bolivia & Argentina"	Not Available																																																																												No							No
"Abra Chica, Cerro"	555938	-21.25	-68	South America	"Northen Chile, Bolivia & Argentina"	Not Available																																																																												No							No
Abu	283001	34.5	131.6	"Japan, Taiwan, Marianas"	Honshu	Shield volcano(es)																																																																												No							No
Acamarachi	355096	-23.3	-67.61666667	South America	"Northen Chile, Bolivia & Argentina"	Stratovolcano(es)																																																																												No							No
Acatenango	342080	14.50055556	-90.87583333	México and Central America	Guatemala	Stratovolcano(es)																																																																												No							No
Acatlán Volc Field	341822	20.45	-103.5666667	México and Central America	México	Not Available	Acatlán Ignimbrite				650000		Not Available	Low quality	No	Smithsonian Pleistocene Database																																				150			1	No	Smithsonian Pleistocene Database	60			1	No		Not Available		7.2		Calculated	No		7		Literature	No	Smithsonian Pleistocene Database							No							No
Acigöl-Nevsehir	213004	38.57	34.52	Mediterranean and W Asia	Turkey	Caldera(s)	Upper Acigöl Tuff				110000		ITPFT isothermal plateau fission track age	Medium quality	No	Druitt et al (1995)												8			?	No	Druitt et al (1995)	3.48			?	No														15			1	No	Druitt et al (1995)	6.5			1	No		Rhyolite		6.2		Calculated	No		6		Literature	No	Smithsonian Pleistocene Database							No							No
Acigöl-Nevsehir	213004	38.57	34.52	Mediterranean and W Asia	Turkey	Caldera(s)	Lower Acigöl Tuff				180000		ITPFT isothermal plateau fission track age	Low quality	No	Druitt et al (1995)																																				13.2			1	No	Druitt et al (1995)	5.74			1	No		Rhyolite		6.1		Calculated	No		6		Literature	No	Smithsonian Pleistocene Database			30	Druitt et al (1995)		Druitt et al (1995)	No			11.2				No
Acoculco	341827	19.96666667	-98.2	México and Central America	México	Not Available	Acoculco Ignimbrite				970000		Not Available	Low quality	No	Collapse Caldera Database (2011)																																				0.1	>=		0	No		0.04	>=		0	No				4	>=	Assumed	No		4	>=	Assumed	No								No							No
Acotango	355813	-18.36666667	-69.05	South America	"Northen Chile, Bolivia & Argentina"	Not Available																																																																												No							No
Adachi	283874	38.218	140.662	"Japan, Taiwan, Marianas"	Honshu	Not Available	"Medeshima Pumice (Ac-Md), Adachi pyroclastic fall"				110000		Not Available	Low quality	No	Smithsonian Pleistocene Database	1.54			No	Volcanology Society of Japan	0.64			0	No																										1.54			0	No	Volcanology Society of Japan	0.64			0	No	Volcanology Society of Japan	Dacite		5.9		Literature	No	Hayakawa (2009)	5		Literature	No	Smithsonian Pleistocene Database							No							No
Adachi	283874	38.218	140.662	"Japan, Taiwan, Marianas"	Honshu	Not Available	"Medeshima Pumice (Ac-Md), Adachi pyroclastic fall"				110000		Not Available	Low quality	No	Hayakawa (2009)	1.54			No	Volcanology Society of Japan	0.64			0	No																										1.54			0	No	Volcanology Society of Japan	0.64			0	No	Volcanology Society of Japan	Dacite		5.9		Literature	No	Hayakawa (2009)	5		Literature	No	Machida & Arai (2003)							No							No
Adachi	283874	38.218	140.662	"Japan, Taiwan, Marianas"	Honshu	Not Available	"Medeshima Pumice (Ac-Md), Adachi pyroclastic fall"				110000		Not Available	Low quality	No	Hayakawa (2009)	1.54			No	Volcanology Society of Japan	0.64			0	No																										1.54			0	No	Volcanology Society of Japan	0.64			0	No	Volcanology Society of Japan	Dacite		5.9		Literature	No	Hayakawa (2009)	5		Literature	No	Smithsonian Pleistocene Database							No							No
Adachi	283874	38.218	140.662	"Japan, Taiwan, Marianas"	Honshu	Not Available	"Medeshima Pumice (Ac-Md), Adachi pyroclastic fall"				110000		Not Available	Low quality	No	Smithsonian Pleistocene Database	1.54			No	Volcanology Society of Japan	0.64			0	No																										1.54			0	No	Volcanology Society of Japan	0.64			0	No	Volcanology Society of Japan	Dacite		5.9		Literature	No	Hayakawa (2009)	5		Literature	No	Machida & Arai (2003)							No							No
Adagdak	311800	51.98777778	-176.5916667	Alaska	Aleutian Islands	Stratovolcano(es)																																																																												No							No
Adamozhets	300847	54.75	159.4	Kamchatka and Mainland Asia	Kamchatka Peninsula	Not Available																																																																												No							No
Adams	321040	46.20555556	-121.4897222	Canada and Western USA	US-Washington	Stratovolcano(es)																																																																												No							No
Adams Seamount	333050	-25.36666667	-129.2666667	Hawaii and Pacific Ocean	Society Is-C Pacific	Submarine volcano(es)																																																																												No							No
Adare Peninsula	390811	-71.7	170.6	Antarctica	Antarctica	Not Available																																																																												No							No
Adatara	283170	37.644	140.286	"Japan, Taiwan, Marianas"	Honshu	Stratovolcano(es)	Nihonmatsu 1				40000		Not Available	Low quality	No	Hayakawa (2009)																																				0.1	>=		0	No		0.04	>=		0	No		Not Available		4		Literature	No	Hayakawa (2009)	4		Calculated	No								No							No
Adatara	283170	37.644	140.286	"Japan, Taiwan, Marianas"	Honshu	Stratovolcano(es)	Nihonmatsu 2				60000		Not Available	Low quality	No	Hayakawa (2009)																																				0.1	>=		0	No		0.04	>=		0	No		Not Available		4		Literature	No	Hayakawa (2009)	4		Calculated	No								No							No
Adatara	283170	37.644	140.286	"Japan, Taiwan, Marianas"	Honshu	Stratovolcano(es)	Nihonmatsu 3				70000		Not Available	Low quality	No	Hayakawa (2009)																																				0.1	>=		0	No		0.04	>=		0	No		Not Available		4		Literature	No	Hayakawa (2009)	4		Calculated	No								No							No
Adatara	283170	37.644	140.286	"Japan, Taiwan, Marianas"	Honshu	Stratovolcano(es)	Adatara-Dake Pumice (Ad-DK) (D)				131000		Not Available	No information	No	Hayakawa (2009)																																				1.7			1	No	Suzuki (1996)	2	>		0	Yes	Smithsonian Pleistocene Database	Not Available		5.2		Literature	No	Hayakawa (2009)	4		Literature	Yes	Machida & Arai (2003)							No							No
Adwa	221170	10.07	40.84	Africa and Red Sea	Africa (northeastern) & Red Sea	Stratovolcano(es)																																																																												No							No
Aegina	212802	37.75	23.5	Mediterranean and W Asia	Greece	Not Available																																																																												No							No
Aeolian				Not Available	Not Available	Not Available																																																																												No							No
Afdem	421820	9.5	40.85	Africa and Red Sea	Africa (northeastern) & Red Sea	Stratovolcano(es)																																																																												No							No
Afderà	221110	13.08333333	40.85	Africa and Red Sea	Africa (northeastern) & Red Sea	Stratovolcano(es)																																																																												No							No
Agrigan	284160	18.77	145.67	"Japan, Taiwan, Marianas"	"Izu, Volcano, & Mariana Islands"	Stratovolcano(es)	1917 AD	9	4	1917	33		Historical records	High quality	No	SI	0.1	>=		No		0.04	>=		?	No																										0.1	>=		0	No		0.04			0	No		Andesite		4		Calculated	No		4		Literature	No	SI							No							No
Agua	342100	14.46472222	-90.74305556	México and Central America	Guatemala	Stratovolcano(es)																																																																												No							No
Agua de Pau	382090	37.77	-25.47	Atlantic Ocean	Azores	Stratovolcano(es)	1563 AD	28	6	1563	387		Historical records	High quality	No	SI	1.3			No	Carey and Sparks (1986)	0.34			1	Yes	Carey and Sparks (1986)																									1.3			1	Yes	Carey and Sparks (1986)	0.34			1	No	Carey and Sparks (1986)	Trachyte		5		Literature	No	Carey and Sigurdsson (1989)	4		Literature	No	SI			19	Carey and Sparks (1986)		Carey and Sparks (1986)	No			10.28	Carey and Sigurdsson (1989)			No
Agua de Pau	382090	37.77	-25.47	Atlantic Ocean	Azores	Stratovolcano(es)	1563 AD	28	6	1563	387		Historical records	High quality	No	Carey and Sigurdsson (1989)	1.3			No	Carey and Sparks (1986)	0.34			1	Yes	Carey and Sparks (1986)																									1.3			1	Yes	Carey and Sparks (1986)	0.34			1	No	Carey and Sparks (1986)	Trachyte		5		Literature	No	Carey and Sigurdsson (1989)	4		Literature	No	SI			19	Carey and Sparks (1986)		Carey and Sparks (1986)	No			10.28	Carey and Sigurdsson (1989)			No
