date,value,error
2009-09-30,NaN,NaN
2009-10-01,NaN,NaN
2009-10-02,NaN,NaN
2009-10-03,NaN,NaN
2009-10-04,NaN,NaN
2009-10-05,NaN,NaN
2009-10-06,NaN,NaN
2009-10-07,NaN,NaN
2009-10-08,NaN,NaN
2009-10-09,NaN,NaN
2009-10-10,NaN,NaN
2009-10-11,NaN,NaN
2009-10-12,NaN,NaN
2009-10-13,NaN,NaN
2009-10-14,NaN,NaN
2009-10-15,NaN,NaN
2009-10-16,NaN,NaN
2009-10-17,NaN,NaN
2009-10-18,NaN,NaN
2009-10-19,NaN,NaN
2009-10-20,NaN,NaN
2009-10-21,NaN,NaN
2009-10-22,NaN,NaN
2009-10-23,NaN,NaN
2009-10-24,NaN,NaN
2009-10-25,NaN,NaN
2009-10-26,NaN,NaN
2009-10-27,NaN,NaN
2009-10-28,NaN,NaN
2009-10-29,NaN,NaN
2009-10-30,NaN,NaN
2009-10-31,NaN,NaN
2009-11-01,NaN,NaN
2009-11-02,NaN,NaN
2009-11-03,NaN,NaN
2009-11-04,NaN,NaN
2009-11-05,NaN,NaN
2009-11-06,NaN,NaN
2009-11-07,NaN,NaN
2009-11-08,NaN,NaN
2009-11-09,NaN,NaN
2009-11-10,NaN,NaN
2009-11-11,NaN,NaN
2009-11-12,NaN,NaN
2009-11-13,NaN,NaN
2009-11-14,NaN,NaN
2009-11-15,NaN,NaN
2009-11-16,NaN,NaN
2009-11-17,NaN,NaN
2009-11-18,NaN,NaN
2009-11-19,NaN,NaN
2009-11-20,NaN,NaN
2009-11-21,NaN,NaN
2009-11-22,NaN,NaN
2009-11-23,NaN,NaN
2009-11-24,NaN,NaN
2009-11-25,NaN,NaN
2009-11-26,NaN,NaN
2009-11-27,NaN,NaN
2009-11-28,NaN,NaN
2009-11-29,NaN,NaN
2009-11-30,NaN,NaN
2009-12-01,NaN,NaN
2009-12-02,NaN,NaN
2009-12-03,NaN,NaN
2009-12-04,NaN,NaN
2009-12-05,NaN,NaN
2009-12-06,NaN,NaN
2009-12-07,NaN,NaN
2009-12-08,NaN,NaN
2009-12-09,NaN,NaN
